State,City,City_State,Date,County_State
CT,Avon,"Avon, CT",30-Mar-20,"Hartford, CT"
CT,Avon,"Avon, CT",14-Apr-20,"Hartford, CT"
CT,Bridgeport,"Bridgeport, CT",04-Mar-20,"Fairfield, CT"
CT,Bridgeport,"Bridgeport, CT",30-Mar-20,"Fairfield, CT"
CT,Cheshire,"Cheshire, CT",15-Apr-20,"New Haven, CT"
CT,Danbury,"Danbury, CT",16-Apr-20,"Fairfield, CT"
CT,Groton,"Groton, CT",11-Mar-20,"New London, CT"
CT,Hartford,"Hartford, CT",27-Mar-20,"Hartford, CT"
CT,Hartford,"Hartford, CT",31-Mar-20,"Hartford, CT"
CT,Hartford,"Hartford, CT",01-Apr-20,"Hartford, CT"
CT,Higganum,"Higganum, CT",22-Apr-20,"Middlesex, CT"
CT,Kent,"Kent, CT",17-Apr-20,"Litchfield, CT"
CT,Lakeville,"Lakeville, CT",15-Apr-20,"Litchfield, CT"
CT,Litchfield,"Litchfield, CT",08-Apr-20,"Litchfield, CT"
CT,Meriden,"Meriden, CT",07-Apr-20,"New Haven, CT"
CT,Middletown,"Middletown, CT",22-Apr-20,"Middlesex, CT"
CT,Naugatuck,"Naugatuck, CT",02-Apr-20,"New Haven, CT"
CT,New Haven,"New Haven, CT",30-Mar-20,"New Haven, CT"
CT,New Milford,"New Milford, CT",30-Mar-20,"Litchfield, CT"
CT,New Milford,"New Milford, CT",17-Apr-20,"Litchfield, CT"
CT,Norwalk,"Norwalk, CT",01-Apr-20,"Fairfield, CT"
CT,Norwich,"Norwich, CT",12-Mar-20,"New London, CT"
CT,Woodbridge,"Woodbridge, CT",01-Apr-20,"New Haven, CT"
CT,Woodstock,"Woodstock, CT",11-Mar-20,"Windham, CT"
MA,Arlington,"Arlington, MA",31-Mar-20,"Middlesex, MA"
MA,Arlington,"Arlington, MA",27-Apr-20,"Middlesex, MA"
MA,Ashland,"Ashland, MA",21-Mar-20,"Middlesex, MA"
MA,Ashland,"Ashland, MA",02-Apr-20,"Middlesex, MA"
MA,Auburn,"Auburn, MA",22-May-20,"Worcester, MA"
MA,Bedford,"Bedford, MA",31-Mar-20,"Middlesex, MA"
MA,Billerica,"Billerica, MA",11-Mar-20,"Middlesex, MA"
MA,Boston,"Boston, MA",26-Mar-20,"Suffolk, MA"
MA,Boston,"Boston, MA",30-Apr-20,"Suffolk, MA"
