Year,Targets ,State,County,Value,Stage
2017,Targeted in 2017,Connecticut,"Fairfield, CT",67,Inquiry
2017,Targeted in 2017,Connecticut,"Hartford, CT",103,Inquiry
2017,Targeted in 2017,Connecticut,"New Haven, CT",84,Inquiry
2017,Targeted in 2017,Massachusetts,"Essex, MA",178,Inquiry
2017,Targeted in 2017,Massachusetts,"Middlesex, MA",247,Inquiry
2017,Targeted in 2017,Massachusetts,"Worcester, MA",156,Inquiry
2017,Targeted in 2017,New Hampshire,"Belknap, NH",18,Inquiry
2017,Targeted in 2017,New Hampshire,"Hillsborough, NH",121,Inquiry
2017,Targeted in 2017,New Hampshire,"Rockingham, NH",94,Inquiry
2017,Targeted in 2017,New Hampshire,"Strafford, NH",51,Inquiry
2017,Targeted in 2017,Vermont,"Caledonia, VT",12,Inquiry
2017,Targeted in 2017,Vermont,"Chittenden, VT",31,Inquiry
2017,Targeted in 2017,Vermont,"Rutland, VT",15,Inquiry
2017,Targeted in 2017,Vermont,"Windham, VT",13,Inquiry
2017,Targeted in 2017,Vermont,"Windsor, VT",32,Inquiry
2017,Targeted in 2017,Rhode Island,"Providence, RI",127,Inquiry
2017,Targeted in 2017,Rhode Island,"Washington, RI",23,Inquiry
2018,Targeted in 2018,Connecticut,"Fairfield, CT",86,Inquiry
2018,Targeted in 2018,Connecticut,"Hartford, CT",112,Inquiry
2018,Targeted in 2018,Connecticut,"New Haven, CT",117,Inquiry
2018,Targeted in 2018,Massachusetts,"Essex, MA",203,Inquiry
2018,Targeted in 2018,Massachusetts,"Middlesex, MA",286,Inquiry
2018,Targeted in 2018,Massachusetts,"Worcester, MA",142,Inquiry
2018,Targeted in 2018,New Hampshire,"Belknap, NH",29,Inquiry
2018,Targeted in 2018,New Hampshire,"Hillsborough, NH",117,Inquiry
2018,Targeted in 2018,New Hampshire,"Rockingham, NH",126,Inquiry
2018,Targeted in 2018,New Hampshire,"Strafford, NH",64,Inquiry
2018,Targeted in 2018,Vermont,"Caledonia, VT",13,Inquiry
2018,Targeted in 2018,Vermont,"Chittenden, VT",37,Inquiry
2018,Targeted in 2018,Vermont,"Rutland, VT",16,Inquiry
2018,Targeted in 2018,Vermont,"Windham, VT",10,Inquiry
2018,Targeted in 2018,Vermont,"Windsor, VT",16,Inquiry
2018,Targeted in 2018,Rhode Island,"Providence, RI",111,Inquiry
2018,Targeted in 2018,Rhode Island,"Washington, RI",25,Inquiry
2019,Targeted in 2019,Connecticut,"Fairfield, CT",67,Inquiry
2019,Targeted in 2019,Connecticut,"Hartford, CT",72,Inquiry
2019,Targeted in 2019,Connecticut,"Litchfield, CT",18,Inquiry
