Date Range,Location,Week Number
3/2/20-3/8/20,"Middlesex, MA Billerica 1821",Week 1
3/2/20-3/8/20,"Middlesex, MA Tyngsboro 1879",Week 1
3/2/20-3/8/20,"Worcester, MA Worcester 1609",Week 1
3/2/20-3/8/20,"Fairfield, CT Bridgeport 6604",Week 1
3/2/20-3/8/20,"Fairfield, CT Bridgeport 6604",Week 1
3/2/20-3/8/20,"New London, CT Groton 6340",Week 1
3/2/20-3/8/20,"New London, CT Norwich 6360",Week 1
3/9/20-3/15/20,"Middlesex, MA Ashland 1721",Week 2
3/9/20-3/15/20,"Middlesex, MA Billerica 1821",Week 2
3/9/20-3/15/20,"Middlesex, MA Littleton 1460",Week 2
3/9/20-3/15/20,"Middlesex, MA Sudbury 1776",Week 2
3/9/20-3/15/20,"Middlesex, MA Tyngsboro 1879",Week 2
3/9/20-3/15/20,"Suffolk, MA Boston 2129",Week 2
3/9/20-3/15/20,"Suffolk, MA Brookline 2445",Week 2
3/9/20-3/15/20,"Barnstable, MA Bourne 2532",Week 2
3/9/20-3/15/20,"Barnstable, MA Mashpee 2649",Week 2
3/9/20-3/15/20,"Hillsborough, NH Manchester 3101",Week 2
3/9/20-3/15/20,"Hillsborough, NH Merrimack 3054",Week 2
3/9/20-3/15/20,"New London, CT Groton 6340",Week 2
3/9/20-3/15/20,"New London, CT Norwich 6360",Week 2
3/9/20-3/15/20,"Hillsborough, NH Hollis 3049",Week 2
3/9/20-3/15/20,"Hillsborough, NH 3060 3060",Week 2
3/9/20-3/15/20,"Hillsborough, NH Nashua 3060",Week 2
3/16/20-3/22/20,"Middlesex, MA Ashland 1721",Week 3
3/16/20-3/22/20,"Middlesex, MA Littleton 1460",Week 3
3/16/20-3/22/20,"Middlesex, MA Newton 2466",Week 3
3/16/20-3/22/20,"Middlesex, MA Newton 2466",Week 3
3/16/20-3/22/20,"Middlesex, MA Sudbury 1776",Week 3
3/16/20-3/22/20,"Worcester, MA Worcester 1609",Week 3
3/16/20-3/22/20,"Suffolk, MA Boston 2129",Week 3
